Unnamed: 0,Unnamed: 1,Oyster canned,"Beef, 97%","Beef, 90%",Beef 80%,"sardine with bones, canned",salmon raw pink ,"Talipia, fish",turkey breast only,duck breast only,beef heart,whitefish raw,deer ground meat,quial meat with skin ,quial meat only,"egg white, raw","Beef tongue, raw","pork loin, lean bonless",pork shoulder lean,"pork loin, bonless",beef liver,chikcen liver,"chicken breast, meat only",Chicken thigh with skin ,"Chicken heart, raw","Chicken Gizzards, raw  ",beef kidney ,Beef Heart,ground lamb meat,Lamb liver,Lamb kidney,Lamb heart,"Ostrich, ground",Rabbit meat,Trout,"Shrimp, raw"
"Potassium, K",mg,1536.9127516778517,1416.6666666666665,1049.0196078431375,708.6614173228346,982.6732673267328,1493.8775510204082,1378.995433789954,964.143426294821,1093.8775510204082,1253.2751091703053,1165.441176470588,1145.8333333333335,710.5263157894735,790,1314.5161290322574,887.3239436619718,1400.7490636704117,1244.5255474452551,1197.3244147157188,1071.917808219178,978.7234042553191,1279.6934865900387,608.955223880597,666.6666666666665,1144.9275362318838,1185.5203619909505,1253.2751091703053,548.1481481481482,976.0273972602739,1215.7894736842104,1356.2231759656654,1006.9204152249133,1482.3529411764707,1438.9312977099235,664.7058823529412
"Sodium, Na",mg,751.677852348993,261.90476190476187,215.68627450980395,173.22834645669292,759.90099009901,306.1224489795918,237.44292237442917,450.1992031872511,232.6530612244898,427.947598253275,187.49999999999997,260.4166666666667,174.34210526315786,170,1338.7096774193542,194.3661971830986,183.5205992509363,277.3722627737226,157.190635451505,236.3013698630137,302.1276595744681,172.4137931034483,241.79104477611938,280.30303030303025,333.3333333333333,823.5294117647062,427.947598253275,145.679012345679,202.05479452054794,884.2105263157896,381.9742489270387,249.13494809688578,196.078431372549,194.6564885496183,3329.4117647058824
"Zinc, Zn",mg,610.7382550335568,20.674603174603174,15.653594771241833,10.971128608923882,3.242574257425743,1.5918367346938775,1.506849315068493,5.0996015936255,3.0204081632653064,7.423580786026199,3.6397058823529407,14.583333333333334,7.960526315789472,9.000000000000002,0.2419354838709676,8.084507042253522,6.741573033707865,11.459854014598537,5.7859531772575234,13.698630136986301,11.361702127659575,2.60536398467433,3.8507462686567164,24.962121212121204,13.140096618357486,8.687782805429867,7.423580786026199,8.419753086419753,11.643835616438354,9.526315789473685,8.025751072961375,12.145328719723182,0,1.7175572519083966,5.705882352941177
"Copper, Cu",mg,29.93288590604026,0.31746031746031744,0.23529411764705885,0.1601049868766404,0.46039603960396036,0.2571428571428571,0.3424657534246574,0.2788844621513945,1.346938775510204,1.729257641921397,0.2647058823529411,0.4861111111111112,1.6677631578947365,1.9799999999999998,0.18548387096774185,0.47887323943661975,0.21722846441947566,0.35401459854014594,0.1872909698996655,33.42465753424657,2.0936170212765957,0.14176245210727972,0.16119402985074627,1.31060606060606,0.5603864734299516,1.9276018099547514,1.729257641921397,0.24938271604938272,39.04109589041095,1.9,1.7038626609442065,0.4429065743944636,0,0.17557251908396942,1.0705882352941176
Iodine,mg,3.0201342281879184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Selenium, Se, ug",mg,0.2402684563758388,0.07023809523809522,0.05424836601307192,0.03937007874015747,0.13044554455445545,0.12816326530612243,0.19178082191780818,0.09043824701195222,0.05673469387755102,0.09519650655021832,0.0463235294117647,0.03472222222222223,0.05460526315789473,0.057999999999999996,0.1612903225806451,0.026478873239436623,0.10374531835205991,0.10766423357664232,0.08862876254180602,0.13595890410958905,0.2323404255319149,0.0873563218390805,0.056417910447761184,0.016287878787878785,0.12318840579710144,0.6380090497737558,0.09519650655021832,0.04641975308641976,0.03801369863013698,0.4926315789473683,0.13733905579399144,0.11418685121107264,0.03686274509803922,0.0900763358778626,0.17411764705882354
Thiamin,mg,1.0067114093959728,0.1626984126984127,0.13725490196078433,0.11286089238845144,0.19801980198019803,0.326530612244898,0.36529680365296796,0.1673306772908367,1.6979591836734693,1.0393013100436677,0.5147058823529411,1.8993055555555558,0.8026315789473681,0.9433333333333331,0.03225806451612902,0.35211267605633806,1.6591760299625467,3.226277372262773,1.4247491638795984,0.6472602739726027,1.297872340425532,0.36015325670498094,0.21791044776119403,0.5757575757575757,0.13526570048309178,1.6153846153846159,1.0393013100436677,0.2716049382716049,4.143835616438356,2.1736842105263157,1.5879828326180259,0.6297577854671279,0.1176470588235294,0.45801526717557245,0.11764705882352942
Riboflavin,mg,1.1140939597315431,0.5992063492063491,0.4934640522875818,0.3963254593175852,0.5618811881188119,0.4285714285714286,0.4794520547945204,0.5776892430278885,1.2653061224489794,3.956331877729257,0.4411764705882352,0.9965277777777778,0.8552631578947367,0.95,3.5403225806451597,0.9577464788732395,0.7003745318352059,1.1459854014598538,0.6053511705685618,9.452054794520546,7.574468085106383,0.6781609195402301,0.43283582089552236,2.757575757575757,1.115942028985507,12.850678733031677,3.956331877729257,0.5185185185185185,14.41780821917808,6.7368421052631575,4.24892703862661,0.9238754325259514,0.2352941176470588,0.34351145038167935,0.08823529411764705
Niacin,mg,8.32214765100671,22.46031746031746,16.568627450980397,11.10236220472441,12.970297029702971,32.6530612244898,36.5296803652968,39.52191235059762,14.040816326530612,32.882096069868986,11.02941176470588,19.791666666666668,24.802631578947366,27.333333333333332,0.8467741935483867,11.943661971830986,21.49812734082397,15.620437956204377,18.62876254180602,45.20547945205479,41.40425531914894,36.781609195402304,13.791044776119405,18.48484848484848,17.777777777777775,36.33484162895928,32.882096069868986,14.716049382716049,46.91780821917808,44.36842105263158,26.351931330472105,15.15570934256055,25.49019607843137,21.259541984732824,10.470588235294118
Pantothenic acid,mg,1.2080536912751672,2.6706349206349205,1.9640522875816995,1.3070866141732282,1.5891089108910892,4.204081632653062,4.703196347031962,3.087649402390439,3.1428571428571432,7.81659388646288,2.75735294117647,2.3958333333333335,2.5394736842105257,2.6233333333333335,1.5322580645161283,1.8394366197183099,2.7902621722846437,2.999999999999999,2.414715719063545,24.554794520547944,26.51063829787234,5.747126436781611,0.5671641791044777,9.696969696969695,3.048309178743961,17.963800904977383,7.81659388646288,1.6049382716049383,19.075342465753423,16.894736842105264,11.287553648068672,3.7370242214532867,0,6.374045801526716,1.8235294117647058
