"id","ingredient_name","group_name","water_g","energy_kcal","protein_g","fat_g","ash_g","cho_g","fiber_g","calcium_mg","iron_mg","phosphorus_mg","potassium_mg","sodium_mg","zinc_mg","copper_mg","iodine_mg","selenium_mg","thiamin_mg","riboflavin_mg","niacin_mg","pantothenic_acid_mg","vitamin_b6_mg","folate_ug","choline_mg","vitamin_b12_ug","vitamin_a_iu","vitamin_e_mg","vitamin_d_iu","pufa_18_2_g","pufa_18_3_g","pufa_20_5_g","pufa_22_6_g","tryptophan_g","threonine_g","isoleucine_g","leucine_g","lysine_g","methionine_g","cystine_g","phenylalanine_g","tyrosine_g","valine_g","arginine_g","magnesium_mg"
44,"Rye grain","Grain B","10.6","378.07605","11.521253","1.8232663","1.7561522","68.00895","16.89038","26.845638","2.9418344","371.3646532","570.4697987","2.237136465","2.964205817","0.410514541","0","0.015548098","0.353467562","0.280760626","4.776286353","1.63310962","0.32885906","0.042505593","34.00447427","0","12.30425056","0.950782998","0","0.737136465","0.120805369","0","0","0.120805369","0.323266219","0.232662192","0.629753915","0.319910515","0.17114094","0","0.476294755","0.218986094","0.34709296","0.497098434","123.0425056"
45,"oat, raw","Grain B","6.55","263.24237","18.512573","7.5227394","3.092563","54.360622","16.4794","62.065277","5.789192","785.446763","605.6714821","4.280363831","3.327982879","0.431246656","0","0.048368111","1.252006421","0.235420011","0.999464955","1.594435527","0.176565008","0.05564473","34.45692884","0","0","1.080791867","0","2.825040128","0.129481006","0","0","0.358480471","0.537185661","0.71482076","1.466024612","0.813269128","0.358480471","0.616372392","0.97164259","0.71482076","1.031567683","1.369716426","251.4713751"
46,"barley, pearl, raw","Grain B","10.1","391.54617","11.023359","1.2903225","1.2347052","69.07675","17.352613","32.258064","2.7808676","245.8286986","311.4571746","10.01112347","2.369299221","0.467185762","0","0.041935484","0.212458287","0.126807564","5.11679644","0.313681869","0.289210234","0.025583982","42.04671858","0","24.47163515","0.022246941","0","0.561735261","0.061179088","0","0","0.183537264","0.374860957","0.402669633","0.748609566","0.410456062","0.21134594","0.243604004","0.618464961","0.315906563","0.540600667","0.551724138","87.87541713"
47,"Pumpkin, raw","Vegetable A","91.6","309.5238","11.904762","1.1904762","9.523809","71.42857","5.952381","250","9.523809","523.8095238","4047.619048","11.9047619","3.80952381","1.511904762","0","0.003571429","0.595238095","1.30952381","7.142857143","3.547619048","0.726190476","0.19047619","97.61904762","0","101309.5238","12.61904762","0","0.023809524","0.035714286","0","0","0.142857143","0.345238095","0.369047619","0.547619048","0.642857143","0.130952381","0.035714286","0.380952381","0.5","0.416666667","0.642857143","142.8571429"
48,"carrots, raw","Vegetable A","88.3","350.42734","7.948718","2.0512822","8.290598","57.94872","23.931623","282.05127","2.5641026","299.1452991","2735.042735","589.7435897","2.051282051","0.384615385","0","0.000854701","0.564102564","0.495726496","8.401709402","2.333333333","1.179487179","0.162393162","75.21367521","0","142735.0427","5.641025641","0","0.854700855","0.017094017","0","0","0.102564103","1.632478632","0.658119658","0.871794872","0.863247863","0.170940171","0.709401709","0.521367521","0.367521368","0.58974359","0.777777778","102.5641026"
31,"pork shoulder lean","Meat Group C","72.6","540.146","71.532845","26.058393","3.7226276","0","0","51.09489","4.4525547","737.2262774","1244.525547","277.3722628","11.45985401","0.354014599","0","0.107664234","3.226277372","1.145985401","15.62043796","3","1.51459854","0.018248175","0","0.003065693","21.89781022","0","0","2.262773723","0.109489051","0","0","0.905109489","3.259124088","3.339416058","5.729927007","6.423357664","1.890510949","0.908759124","2.846715328","2.48540146","3.868613139","4.452554745","76.64233577"
32,"pork loin, boneless","Meat Group C","70.1","555.18396","71.23746","27.859531","3.244147","0","0","23.411371","1.7725753","722.4080268","1197.324415","157.1906355","5.785953177","0.18729097","0","0.088628763","1.424749164","0.605351171","18.62876254","2.414715719","2.401337793","0","191.638796","0.00180602","16.72240803","0.401337793","70.23411371","3.053511706","0.137123746","0","0","0.752508361","3.204013378","3.511705686","6.086956522","6.622073579","1.966555184","0.822742475","3","2.715719064","3.745819398","4.74916388","80.26755853"
33,"Trout","Meat Group C","73.8","538.16797","75.9542","23.587786","4.6183205","0","0","95.419846","1.1832061","862.5954198","1438.931298","194.6564885","1.717557252","0.175572519","0","0.090076336","0.458015267","0.34351145","21.25954198","6.374045802","1.297709924","0.041984733","248.0916031","0.016412214","1068.70229","8.93129771","2423.664122","1.877862595","0.255725191","0.828244275","1.969465649","0.893129771","3.492366412","3.671755725","6.488549618","7.328244275","2.358778626","0.854961832","3.110687023","2.687022901","4.122137405","4.770992366","95.41984733"
49,"Green peas, raw","Vegetable B","78.9","383.88626","25.687204","1.8957345","4.123223","41.232227","27.014217","118.48341","6.9668245","511.8483412","1156.398104","23.69668246","5.876777251","0.834123223","0","0.008530806","1.260663507","0.625592417","9.90521327","0.492890995","0.800947867","0.308056872","134.5971564","0","3625.592417","0.616113744","0","0.720379147","0.165876777","0","0","0.17535545","0.962085308","0.924170616","1.530805687","1.502369668","0.388625592","0.151658768","0.947867299","0.54028436","1.113744076","2.028436019","156.3981043"
50,"Green beans, raw","Vegetable B","90.3","319.58762","18.86598","2.2680411","6.804124","44.02062","27.835052","381.4433","10.618557","391.7525773","2175.257732","61.8556701","2.474226804","0.711340206","0","0.006185567","0.845360825","1.072164948","7.567010309","2.319587629","1.453608247","0.340206186","157.7319588","0","7113.402062","4.226804124","0","0.453608247","0.711340206","0","0","0.195876289","0.81443299","0.680412371","1.154639175","0.907216495","0.226804124","0.18556701","0.690721649","0.432989691","0.927835052","0.75257732","257.7319588"
